scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw_l,paw_l,paw_l,paw_r,paw_r,paw_r
coords,x,y,likelihood,x,y,likelihood
71,56.9412727355957,54.41969299316406,0.9992448687553406,73.85211181640625,67.5398941040039,0.9999146461486816
72,56.96763229370117,54.22268295288086,0.999697744846344,72.6308822631836,66.16358184814453,0.9998189210891724
73,56.96220016479492,53.94011306762695,0.9999111890792848,73.9592056274414,65.16357421875,0.9998264908790588
74,57.00959777832031,54.091251373291016,0.999858856201172,74.94188690185547,65.3025131225586,0.9998499155044556
75,57.850807189941406,54.1438102722168,0.9998489618301392,76.24061584472656,65.96350860595703,0.9996872544288636
76,58.51105499267578,53.89326858520508,0.9999858736991882,79.36212158203125,66.77448272705078,0.9991917610168456
77,58.94868469238281,53.419212341308594,0.9997761249542236,80.74124145507812,67.44361114501953,0.9999474883079528
78,59.04254531860352,53.49152374267578,0.9995888471603394,82.48925018310547,67.1341323852539,0.9970132112503052
79,59.58617782592773,53.89054489135742,0.999981701374054,84.57147979736328,66.85519409179688,0.9998303651809692
80,60.122100830078125,54.42039489746094,0.998804211616516,85.93334197998047,66.62330627441406,0.9998807907104492
81,60.45259094238281,54.57877731323242,0.996245265007019,86.28564453125,66.3902816772461,0.9976901412010192
82,60.47612762451172,54.6198616027832,0.998142659664154,86.59130096435547,66.31723022460938,0.998848557472229
83,60.53785705566406,54.72883987426758,0.9999797344207764,86.8243408203125,66.22384643554688,0.9992053508758544
84,60.641639709472656,54.82007598876953,0.9999563694000244,87.5521240234375,66.02359771728516,0.9998597502708436
85,60.62324142456055,54.829349517822266,0.9999529719352722,87.98336029052734,65.75489044189453,0.999833345413208
86,60.69167709350586,54.9240837097168,0.9998987317085266,87.93755340576172,65.37456512451172,0.9996089935302734
87,60.58575820922852,54.90262222290039,0.9999182224273682,88.14568328857422,65.14834594726562,0.99952232837677
88,60.6114387512207,54.91400909423828,0.999911904335022,88.19552612304688,65.19096374511719,0.9992192387580872
89,60.71348571777344,54.873809814453125,0.9999300837516784,88.30260467529297,65.30663299560547,0.9984633326530457
90,60.77899169921875,54.940040588378906,0.9998809099197388,88.41162109375,65.38418579101562,0.9979960322380066
91,60.84049987792969,54.83052444458008,0.9999270439147948,88.42172241210938,65.42292785644531,0.9977821111679076
92,60.88793563842773,54.86561584472656,0.9999015927314758,88.67276000976562,65.2414321899414,0.9998716711997986
93,60.74711608886719,55.017845153808594,0.9997988939285278,88.74230194091797,65.03507995605469,0.9999542236328124
94,60.64966583251953,55.08341217041016,0.9996790885925292,89.09352111816406,64.74248504638672,0.9991726279258728
95,60.59233474731445,55.16504287719727,0.999395191669464,89.23677062988281,64.5229263305664,0.999264121055603
96,60.521968841552734,55.06040573120117,0.9997411370277404,89.27067565917969,63.96818161010742,0.9986075162887572
97,60.5335578918457,54.95304489135742,0.99988055229187,89.6211166381836,63.48551559448242,0.9999550580978394
98,60.56684875488281,54.71714782714844,0.9999765753746032,89.1795425415039,63.39282989501953,0.9999266266822816
99,60.00701522827149,54.69596099853516,0.9997948408126832,86.77847290039062,63.4946174621582,0.9999477863311768
100,59.51695251464844,53.94457626342773,0.99995619058609,71.64019775390625,62.28855514526367,0.9993924498558044
101,58.71006774902344,53.99089431762695,0.9999657869338988,66.44075775146484,63.72849655151367,0.9998040795326232
102,59.03724670410156,54.25738525390625,0.9996057748794556,66.18509674072266,66.63855743408203,0.9993699193000792
