scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
48,192.0130,159.7135,0.9996,206.4868,198.5668,0.9997,215.3160,172.0605,0.9991,233.7159,206.0754,0.9989,240.8345,183.8361,1.0000,252.6371,217.9730,0.9992,227.0620,151.3336,0.9994,228.0732,187.8469,0.9999,239.2968,173.1605,0.9998,247.1042,199.7720,0.9998,259.1819,181.2394,0.9999,270.3306,209.2086,0.9979
49,192.1806,159.7193,0.9994,206.1693,198.6492,0.9998,215.5163,172.1138,0.9984,233.5710,206.1173,0.9991,240.8803,183.9547,1.0000,252.3826,217.8774,0.9997,227.1085,151.1382,0.9996,228.0350,187.8027,0.9999,239.5045,173.2552,0.9996,247.0792,199.8432,0.9998,259.2320,181.3566,0.9999,270.4088,209.2369,0.9979
50,192.1427,159.7428,0.9994,205.7941,198.8118,0.9998,215.5493,172.2509,0.9999,233.5791,206.1665,0.9989,240.9344,184.1147,0.9999,252.4239,217.9696,0.9996,227.1150,151.1803,0.9995,228.0407,187.7481,0.9999,239.4016,173.4115,0.9997,246.9217,199.9323,0.9999,259.1011,181.4675,0.9998,270.3707,209.3129,0.9978
51,192.0563,159.7253,0.9996,205.5225,198.7833,0.9998,215.4776,172.3232,0.9985,233.4854,206.1901,0.9989,240.9579,184.1648,0.9999,252.4063,217.9627,0.9996,227.0708,151.2167,0.9995,227.9958,187.6550,1.0000,239.3806,173.4896,0.9997,246.7975,199.9576,0.9999,259.0162,181.5555,0.9997,270.3570,209.2506,0.9981
52,192.1891,159.8558,0.9993,205.5265,198.8364,0.9998,215.5686,172.4225,0.9999,233.4734,206.1753,0.9990,241.1232,184.2783,0.9999,252.3170,218.0379,0.9997,227.0767,151.3534,0.9993,228.0454,187.6136,1.0000,239.2822,173.5102,0.9998,246.7212,199.9104,0.9999,259.0388,181.6273,0.9996,270.1585,209.3822,0.9974
53,191.9201,159.9789,0.9995,205.0319,198.8943,0.9982,215.2609,172.4292,0.9993,233.0570,206.0891,0.9995,240.8410,184.3191,0.9999,251.9989,218.1100,0.9998,226.7074,151.3490,0.9994,227.7198,187.3995,0.9989,238.6605,173.4342,0.9999,246.2350,199.8752,0.9976,258.6718,181.6078,0.9983,269.5451,209.5483,0.9958
54,191.6712,160.0643,0.9996,204.8216,199.0048,0.9988,215.0255,172.4754,0.9996,232.6982,206.0939,0.9995,240.8036,184.4999,0.9998,251.8259,218.0060,0.9999,226.4310,151.2791,0.9995,227.4185,187.3100,0.9995,238.2348,173.4381,1.0000,245.8615,199.8654,0.9990,258.4435,181.6496,0.9989,269.0178,209.4886,0.9931
55,191.3684,159.8451,0.9999,204.1796,198.9205,0.9997,214.7717,172.5192,0.9997,232.1972,206.2729,0.9992,240.5876,184.5619,0.9998,251.2696,217.7733,1.0000,226.2288,151.0794,0.9998,226.9250,187.3909,0.9999,237.8982,173.6026,0.9984,245.3147,200.0251,0.9997,258.0653,181.7582,0.9993,268.0631,209.6117,0.9935
56,191.4192,159.8452,0.9999,203.7704,199.0011,0.9997,214.6950,172.5760,0.9997,231.7694,206.3069,0.9981,240.4772,184.5548,0.9998,250.8063,217.6054,1.0000,226.1017,150.9619,0.9998,226.7733,187.3124,0.9999,237.6060,173.7246,0.9993,244.9397,199.8808,0.9999,257.5615,181.8123,0.9992,266.9967,209.6877,0.9892
57,191.5338,159.8931,0.9998,203.8240,198.9127,0.9997,214.6222,172.5444,0.9998,231.7720,206.3211,0.9982,240.3576,184.4008,0.9999,250.8147,217.7324,1.0000,225.9398,150.8306,0.9999,226.7138,187.3667,0.9999,237.6722,173.4811,0.9991,245.0414,199.8174,0.9999,257.5323,181.8246,0.9991,266.6626,210.1387,0.9987
58,191.6615,159.7666,0.9999,203.6151,199.0048,0.9996,214.3624,172.5412,0.9998,231.5985,206.0454,0.9990,240.1001,184.1681,0.9987,250.7229,217.7455,1.0000,225.9650,150.9722,0.9998,226.7972,187.5695,0.9999,237.2859,173.4288,0.9997,244.7986,199.8563,0.9999,257.0637,181.7991,0.9992,266.3737,210.7762,0.9981
59,191.4541,159.6896,0.9999,203.7120,199.0942,0.9994,214.1759,172.6197,0.9998,231.5128,206.2318,0.9987,240.1904,184.1599,0.9982,250.5963,218.0498,0.9999,225.8972,151.2644,0.9996,226.7800,187.6062,0.9999,237.2653,173.3065,0.9998,244.5549,200.0696,0.9999,256.7180,181.9241,0.9972,265.7102,211.4543,0.9926
