scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
44,379.6712,210.5649,0.9996,393.4131,255.4290,0.9993,411.7977,212.9765,0.9996,421.8212,253.3362,0.9994,441.0703,213.7706,1.0000,455.9210,249.9531,0.9993,353.2016,189.2702,0.9999,361.8233,236.6693,0.9916,402.2586,204.5362,0.9991,410.2432,238.6929,0.9997,434.3336,205.1020,0.9999,437.8634,236.3216,0.9984
45,379.0369,210.8186,0.9993,392.8283,255.8390,0.9981,411.6173,213.0421,0.9996,422.5406,253.1461,0.9996,440.8546,213.6416,1.0000,456.3688,250.0077,0.9987,353.5612,189.4188,0.9998,361.7810,236.2218,0.9921,402.8099,204.6678,0.9979,409.9263,238.5896,0.9998,434.3746,205.2022,0.9999,437.9146,236.1651,0.9993
46,378.9901,211.1497,0.9980,391.7916,256.7630,0.9999,411.6309,213.2968,0.9991,422.9485,253.2286,0.9994,440.5177,213.8957,1.0000,456.3803,250.8497,0.9988,353.6835,189.7617,0.9992,362.1327,236.2209,0.9893,403.0749,204.7473,0.9976,409.6367,238.4998,0.9999,434.2296,205.4308,0.9999,437.8506,236.2510,0.9993
47,379.5131,211.6711,0.9999,391.1971,257.8578,0.9957,411.9666,213.7048,1.0000,423.9120,253.9156,0.9955,440.8320,214.1256,1.0000,457.0335,251.9100,1.0000,354.1142,189.5545,0.9993,362.2780,236.5172,0.9790,403.7105,204.8421,0.9965,409.3067,238.6902,0.9999,434.5620,205.5856,0.9998,438.1859,236.5229,0.9984
48,379.5704,212.0920,0.9997,391.1747,258.4664,0.9980,412.2059,214.2114,1.0000,424.3494,254.3770,1.0000,441.1915,214.4990,0.9999,457.1358,252.7027,1.0000,354.4138,189.2591,0.9994,362.9881,236.7077,0.9754,404.2361,205.0289,0.9942,409.2894,238.8995,0.9996,434.8334,205.7377,0.9997,438.6546,236.9946,0.9999
49,379.8924,212.4563,0.9995,390.6512,259.3170,0.9988,412.2194,214.5353,0.9999,424.0809,254.0127,0.9971,441.4007,214.6488,0.9999,457.7422,252.1599,1.0000,354.3646,189.1427,0.9995,363.7256,236.6885,0.9810,404.5469,205.1893,0.9970,409.7751,238.7910,0.9998,434.8871,205.6618,0.9997,438.9133,236.5445,0.9991
50,380.0463,212.7491,0.9989,390.0437,259.6258,0.9989,412.2953,214.7598,0.9998,423.8314,254.3169,0.9980,441.5403,214.6733,0.9999,457.7159,252.3035,1.0000,354.2733,189.0028,0.9996,363.5386,237.1678,0.9979,404.7968,205.4633,0.9999,409.6325,238.8659,0.9997,434.9089,205.8403,0.9996,439.0049,236.5744,0.9991
51,379.8978,213.0686,0.9979,388.8635,259.6149,0.9993,411.8827,214.7964,0.9998,422.9159,254.2743,0.9996,441.0537,214.6634,0.9999,457.3482,252.2544,1.0000,354.1544,188.8651,0.9997,363.4022,237.2714,0.9978,404.4598,205.5045,0.9974,409.2872,238.7992,0.9998,434.5533,205.8490,0.9996,438.8060,236.4188,0.9995
52,379.8309,212.9387,0.9984,388.3616,260.2037,0.9931,411.9000,214.7079,0.9998,422.9442,254.3320,0.9995,441.1570,214.7428,0.9998,457.3025,252.0964,1.0000,354.1498,188.8794,0.9997,363.6486,237.3928,0.9976,404.7407,205.5408,0.9999,409.5206,238.8893,0.9997,434.5824,205.9414,0.9996,438.5800,236.5068,0.9995
53,379.8144,212.8679,0.9987,387.7581,259.7436,0.9976,411.8713,214.5395,0.9999,422.4633,253.8962,0.9972,440.5476,214.7151,0.9998,456.9525,251.9288,1.0000,354.5386,188.6946,0.9997,363.7713,236.6133,0.9841,404.9960,205.5302,0.9999,409.5922,238.6676,0.9999,434.3374,206.0683,0.9996,438.4156,236.2772,0.9998
